1670534346.258176,10.10.1.100:37822,0,46,14,
1670534346.260635,10.10.1.100:37820,0,41,10,
1670534346.377755,10.10.1.100:37824,0,48,14,
1670534346.379270,10.10.1.100:37822,0,46,14,
1670534346.380633,10.10.1.100:37820,0,41,10,
1670534346.460556,10.10.1.100:37824,0,48,14,
1670534346.462083,10.10.1.100:37822,0,46,16,
1670534346.463511,10.10.1.100:37820,0,41,10,
1670534346.544237,10.10.1.100:37824,0,48,14,
1670534346.545675,10.10.1.100:37822,0,46,16,
1670534346.547093,10.10.1.100:37820,0,41,10,
1670534346.628374,10.10.1.100:37824,0,48,12,
1670534346.630402,10.10.1.100:37822,0,46,14,
1670534346.632725,10.10.1.100:37820,0,41,10,
1670534346.777616,10.10.1.100:37824,0,48,16,
1670534346.780427,10.10.1.100:37822,0,46,15,
1670534346.782943,10.10.1.100:37820,0,41,10,
1670534346.928686,10.10.1.100:37824,0,48,16,
1670534346.931384,10.10.1.100:37822,0,46,16,
1670534346.933750,10.10.1.100:37820,0,41,10,
1670534347.031329,10.10.1.100:37824,0,48,12,
1670534347.032800,10.10.1.100:37822,0,46,16,
1670534347.034167,10.10.1.100:37820,0,41,12,
1670534347.115242,10.10.1.100:37824,0,48,8,
1670534347.116643,10.10.1.100:37822,0,46,14,
1670534347.118024,10.10.1.100:37820,0,41,12,
1670534347.197457,10.10.1.100:37824,0,48,10,
1670534347.198933,10.10.1.100:37822,0,46,16,
1670534347.200290,10.10.1.100:37820,0,41,12,
1670534347.280555,10.10.1.100:37824,0,48,10,
1670534347.282016,10.10.1.100:37822,0,46,16,
1670534347.283404,10.10.1.100:37820,0,41,12,
1670534347.363466,10.10.1.100:37824,0,48,10,
1670534347.364927,10.10.1.100:37822,0,46,10,
1670534347.366293,10.10.1.100:37820,0,41,12,
1670534347.446214,10.10.1.100:37824,0,48,10,
1670534347.447714,10.10.1.100:37822,0,46,10,
1670534347.449120,10.10.1.100:37820,0,41,12,
1670534347.530275,10.10.1.100:37824,0,48,10,
1670534347.531836,10.10.1.100:37822,0,46,10,
1670534347.533270,10.10.1.100:37820,0,41,12,
1670534347.613097,10.10.1.100:37824,0,48,10,
1670534347.614582,10.10.1.100:37822,0,46,10,
1670534347.615989,10.10.1.100:37820,0,41,12,
1670534347.695420,10.10.1.100:37824,0,48,10,
1670534347.696841,10.10.1.100:37822,0,46,10,
1670534347.698180,10.10.1.100:37820,0,41,8,
1670534347.779327,10.10.1.100:37824,0,48,10,
1670534347.780810,10.10.1.100:37822,0,46,10,
1670534347.782157,10.10.1.100:37820,0,41,8,
1670534347.861894,10.10.1.100:37824,0,48,10,
1670534347.863387,10.10.1.100:37822,0,46,10,
1670534347.864731,10.10.1.100:37820,0,41,8,
1670534347.944467,10.10.1.100:37824,0,48,10,
1670534347.945931,10.10.1.100:37822,0,46,10,
1670534347.947392,10.10.1.100:37820,0,41,8,
1670534348.028466,10.10.1.100:37824,0,48,10,
1670534348.029985,10.10.1.100:37822,0,46,10,
1670534348.031377,10.10.1.100:37820,0,41,8,
1670534348.111897,10.10.1.100:37824,0,48,10,
1670534348.113335,10.10.1.100:37822,0,46,10,
1670534348.114778,10.10.1.100:37820,0,41,8,
1670534348.194384,10.10.1.100:37824,0,48,10,
1670534348.195870,10.10.1.100:37822,0,46,10,
1670534348.197256,10.10.1.100:37820,0,41,8,
1670534348.301045,10.10.1.100:37824,0,48,10,
1670534348.303715,10.10.1.100:37822,0,46,10,
1670534348.306079,10.10.1.100:37820,0,41,8,
1670534348.448455,10.10.1.100:37824,0,48,10,
1670534348.451161,10.10.1.100:37822,0,46,10,
1670534348.453503,10.10.1.100:37820,0,41,8,
1670534348.542605,10.10.1.100:37824,0,48,10,
1670534348.544077,10.10.1.100:37822,0,46,10,
1670534348.545407,10.10.1.100:37820,0,41,8,
1670534348.667951,10.10.1.100:37824,0,48,10,
1670534348.670971,10.10.1.100:37822,0,46,10,
1670534348.673385,10.10.1.100:37820,0,41,8,
1670534348.812292,10.10.1.100:37824,0,48,10,
1670534348.814802,10.10.1.100:37822,0,46,10,
1670534348.817214,10.10.1.100:37820,0,41,8,
1670534348.958574,10.10.1.100:37824,0,48,10,
1670534348.961228,10.10.1.100:37822,0,46,10,
1670534348.963680,10.10.1.100:37820,0,41,8,
1670534349.047127,10.10.1.100:37824,0,48,10,
1670534349.048577,10.10.1.100:37822,0,46,10,
1670534349.049909,10.10.1.100:37820,0,41,8,
1670534349.129600,10.10.1.100:37824,0,48,10,
1670534349.131085,10.10.1.100:37822,0,46,10,
1670534349.132487,10.10.1.100:37820,0,41,8,
1670534349.211712,10.10.1.100:37824,0,48,10,
1670534349.213155,10.10.1.100:37822,0,46,10,
1670534349.214486,10.10.1.100:37820,0,41,8,
1670534349.294751,10.10.1.100:37824,0,48,10,
1670534349.296286,10.10.1.100:37822,0,46,10,
1670534349.297616,10.10.1.100:37820,0,41,8,
1670534349.377171,10.10.1.100:37824,0,48,10,
1670534349.378609,10.10.1.100:37822,0,46,10,
1670534349.379987,10.10.1.100:37820,0,41,8,
1670534349.459472,10.10.1.100:37824,0,48,10,
1670534349.460901,10.10.1.100:37822,0,46,10,
1670534349.462269,10.10.1.100:37820,0,41,8,
1670534349.542185,10.10.1.100:37824,0,48,10,
1670534349.543666,10.10.1.100:37822,0,46,10,
1670534349.544991,10.10.1.100:37820,0,41,8,
1670534349.625288,10.10.1.100:37824,0,48,10,
1670534349.626772,10.10.1.100:37822,0,46,10,
1670534349.628147,10.10.1.100:37820,0,41,8,
1670534349.707945,10.10.1.100:37824,0,48,10,
1670534349.709395,10.10.1.100:37822,0,46,10,
